Length (ft),Length (in),Total Length (ft),Gender,Receipt Amount,Date Caught,Time of Day,Location Caught,Weight (lbs),Species,SFWMDPyMo #
5,,5.00,Male,$75.00,5/30/2017,21:45,L-67A,2.00,Burmese,150
5,9,5.75,Male,$100.00,5/30/2017,21:30,L-67A,6.00,Burmese,151
7,7,7.58,Male,$150.00,5/30/2017,22:00,L-67A,12.00,Burmese,152
7,9,7.75,Male,$150.00,5/29/2017,22:08,L-67,12.00,Burmese,144
6,,6.00,Female,$100.00,5/30/2017,0:15,L-28T,6.00,Burmese,153
8,1,8.08,Female,$150.00,5/31/2017,23:12,Rocky Glades,16.00,Burmese,156
7,9,7.75,Male,$150.00,5/31/2017,0:14,Rocky Glades,10.00,Burmese,157
7,2,7.17,Female,$125.00,5/31/2017,22:17,Rocky Glades,10.00,Burmese,158
8,10,8.83,Male,$175.00,5/28/2017,21:43,Rocky Glades,20.00,Burmese,142
5,,5.00,Male,$75.00,5/29/2017,21:21,Rocky Glades,4.50,Burmese,145
5,6,5.50,Male,$100.00,5/28/2017,22:30,L-31N,6.00,Burmese,141
4,9,4.75,Male,$75.00,6/18/2017,21:30,L-31E,3.00,Burmese,160
10,1,10.08,Female,$200.00,6/17/2017,21:20,L-33,30.00,Burmese,159
8,1,8.08,Female,$150.00,6/18/2017,22:15,Rocky Glades,11.00,Burmese,161
7,6,7.50,Male,$150.00,6/19/2017,21:55,L-33,11.00,Burmese,163
4,0,4.00,Male,$50.00,6/18/2017,12:30,L-67,2.00,Burmese,162
8,2,8.17,Male,$150.00,6/20/2017,1:00,L-67A,15.00,Burmese,165
7,1,7.08,Male,$125.00,6/19/2017,21:25,C-4,11.00,Burmese,164
9,7,9.58,Female,$200.00,6/20/2017,22:30,L-31N,25.00,Burmese,166
8,8,8.67,Male,$175.00,6/21/2017,22:53,L-68A,16.00,Burmese,168
7,6,7.50,Male,$150.00,6/21/2017,19:04,Rocky Glades,10.00,Burmese,169
8,6,8.50,Female,$175.00,6/21/2017,21:36,Rocky Glades,16.00,Burmese,170
6,1,6.08,Male,$100.00,6/21/2017,22:00,Rocky Glades,5.00,Burmese,171
8,6,8.50,Female,$175.00,6/21/2017,22:35,Rocky Glades,16.00,Burmese,172
7,5,7.42,Male,$125.00,6/20/2017,21:50,Rocky Glades,12.00,Burmese,167
4,0,4.00,Female,$0.00,6/24/2017,14:15,Rocky Glades,2.00,Burmese,176
9,4,9.33,Female,$175.00,6/26/2017,3:30,L-28,23.00,Burmese,179
8,11,8.92,Female,$175.00,6/26/2017,1:30,L-28,22.00,Burmese,180
4,0,4.00,Male,$50.00,6/23/2017,21:57,Rocky Glades,21.00,Burmese,173
9,4,9.33,Male,$175.00,6/23/2017,22:09,Rocky Glades,19.00,Burmese,174
11,6,11.50,Female,$250.00,6/24/2017,2:15,L-28,36.00,Burmese,177
8,10,8.83,Female,$175.00,6/24/2017,22:20,L-67A,8.00,Burmese,178
11,0,11.00,Male,$225.00,6/27/2017,1:00,L-28 ,45.00,Burmese,184
5,6,5.50,Male,$100.00,6/23/2017,22:00,Rocky Glades,4.00,Burmese,175
10,7,10.58,Female,$225.00,6/26/2017,21:15,Cell 27,28.00,Burmese,181
8,11,8.92,Male,$175.00,6/27/2017,1:34,L-28,18.00,Burmese,185
6,0,6.00,Male,$100.00,6/28/2017,0:38,Rocky Glades,8.00,Burmese,188
3,11,3.92,Male,$50.00,6/27/2017,21:58,Cell 27,3.00,Burmese,186
9,4,9.33,Female,$175.00,6/28/2017,0:40,L-28,26.00,Burmese,189
9,0,9.00,Female,$175.00,6/28/2017,21:30,31-N,24.00,Burmese,190
7,10,7.83,Female,$150.00,6/28/2017,22:30,L-29,9.00,Burmese,191
8,9,8.75,Female,$175.00,6/26/2017,23:15,L-67A,16.00,Burmese,182
4,3,4.25,?,$50.00,6/26/2017,22:40,L-67A,3.50,Burmese,183
8,8,8.67,Female,$175.00,6/28/2017,3:00,L-67A,20.00,Burmese,192
7,8,7.67,Female,$150.00,6/29/2017,22:15,L-67A,16.00,Burmese,194
6,5,6.42,Female,$100.00,6/29/2017,23:20,L-67A,9.00,Burmese,195
4,6,4.50,Male,$75.00,6/29/2017,22:24,L-67A,9.00,Burmese,196
8,0,8.00,Female,$0.00,7/1/2017,22:30,L-28,12.00,Burmese,197
10,0,10.00,Female,$0.00,7/1/2017,23:30,L-28,22.00,Burmese,198
8,1,8.08,Male,$150.00,7/1/2017,0:30,L-33,10.00,Burmese,199
12,0,12.00,Female,$250.00,7/1/2017,1:40,L-28,48.00,Burmese,200
8,6,8.50,Female,$175.00,7/3/2017,2:00,L-28,16.00,Burmese,205
4,8.5,4.71,Female,$75.00,7/1/2017,20:50,L-67A,2.00,Burmese,201
7,4.5,7.38,Male,$125.00,7/2/2017,0:05,L-67A,9.00,Burmese,202
11,6,11.50,Female,$250.00,7/4/2017,21:50,L-28,47.00,Burmese,209
9,2,9.17,Female,$175.00,7/2/2017,13:00,L-28,24.00,Burmese,203
8,6,8.50,Female,$175.00,7/3/2017,1:45,L-37,16.00,Burmese,206
